Incident Number,Short Description,Description,Category,Subcategory,Priority,State,Assigned To,Created Date,Resolution Notes,Affected Upstream,Affected Downstream,Connectivity Information
INC1000028,"received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 08/21/2016 09:45:00","received from: monitoring_tool@company.com

job bwhrattr failed in job_scheduler at: 08/21/2016 09:45:00",Database,Connection Issue,Critical,Cancelled,Sara Morales,2024-08-28,Their hand camera Congress customer hear single.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000029,outlook goes to not responding,outlook goes to not responding,Database,Performance,Critical,In Progress,Monica Miller,2024-08-23,Issue resolved following standard procedures.,Database Cluster A,Data Warehouse,No connectivity issues detected.
INC1000030,User unable to access VPN,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Unauthorized Access,Low,In Progress,Justin Sweeney,2024-11-08,Issue resolved following standard procedures.,Messaging Queue,Frontend Portal,High latency observed
INC1000031,unable to access n drive ,unable to access n drive ,Security,Policy Violation,High,On Hold,Charles Stevens,2025-03-17,Glass happen rest model.,API Gateway,Data Warehouse,Intermittent network drops
INC1000032,Phishing email received,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Malware,High,On Hold,<function <lambda> at 0x7eb3c62986d0>,2025-03-16,Issue resolved following standard procedures.,API Gateway,Mobile App,Intermittent network drops
INC1000033,probleme mit gehaltsnachweis drucken \eaodcgsw trmzwbyc,probleme mit gehaltsnachweis drucken \eaodcgsw trmzwbyc,Network,Internet,Low,Closed,Rebecca Lewis,2024-05-31,Fill college drug of be.,API Gateway,Mobile App,VPN connectivity unstable
INC1000034,Slow application performance,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Malware,Low,On Hold,Luis Simon,2024-04-17,Issue resolved following standard procedures.,API Gateway,Reporting Engine,High latency observed
INC1000035,Firewall policy misconfiguration,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Software,Operating System,High,Closed,Joshua Green,2024-08-14,From response inside better community.,Messaging Queue,Frontend Portal,No connectivity issues detected.
INC1000036,"the last worklist was created on friday, october 8th at 3:50 am.","the last worklist was created on friday, october 8th at 3:50 am.",Database,Connection Issue,Medium,Closed,James Wood,2024-06-21,Spring of try owner serious.,Authentication Server,Data Warehouse,Complete network outage
INC1000037,User unable to access VPN,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Security,Malware,Low,On Hold,John Jones,2024-06-07,Coach toward evidence debate hotel country store traditional.,Messaging Queue,Mobile App,VPN connectivity unstable
INC1000038,Firewall policy misconfiguration,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Network,Switch,Low,Cancelled,Andrew Henry,2024-11-07,Quickly table key total various effect.,Authentication Server,Frontend Portal,Complete network outage
INC1000039,System crash after update,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Database,Backup Failure,Critical,In Progress,Douglas Tyler,2024-11-21,Issue resolved following standard procedures.,Database Cluster A,Reporting Engine,High latency observed
INC1000040,Slow application performance,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Network,VPN,Medium,In Progress,Stephen Copeland,2024-08-30,Particular everybody together phone night.,Authentication Server,Data Warehouse,Intermittent network drops
INC1000041,Database connection timeout,System crashed after applying latest OS update. Issue needs rollback or fix.,Database,Backup Failure,Critical,Closed,Derrick Nunez,2024-09-09,Civil sense teach stay none usually.,Database Cluster A,Data Warehouse,Firewall blocking traffic
INC1000042,Printer not responding,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Software,Database,Low,In Progress,April Robertson,2024-09-25,Low change film have manager.,Database Cluster A,Mobile App,No connectivity issues detected.
INC1000043,bgflmyar.xgufkidq@gmail.com wanted to check if he can login to hr_tool on his phone,bgflmyar.xgufkidq@gmail.com wanted to check if he can login to hr_tool on his phone,Hardware,Monitor,Low,Cancelled,Kelly Davies,2024-10-25,Life fall threat forget different subject.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000044,Firewall policy misconfiguration,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Security,Malware,Low,New,Cory Morton,2024-12-31,Cause position her sort indicate.,Firewall System,Reporting Engine,Firewall blocking traffic
INC1000045,"received from: monitoring_tool@company.com

job bwhrertran failed in job_scheduler at: 08/20/2016 00:38:00","received from: monitoring_tool@company.com

job bwhrertran failed in job_scheduler at: 08/20/2016 00:38:00",Database,Timeout,Medium,New,Andrew Henry,2024-11-19,Off country or member do finish big.,API Gateway,Mobile App,Complete network outage
INC1000046,"what type of outage:  _x____network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______3:55 am et on 08/16______________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___na________   (yes/no/na) 

9. equipment reset ?    _____na______    (yes/no/na) 

10. verified site working on backup circuit ?  ____yes___     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics","what type of outage:  _x____network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    ___no______     (yes/no/na) 

2. when did it start  ?   _______3:55 am et on 08/16______________

3.  scheduled maintenance ( power) ? ___no____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? ___no____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  __yes____    (yes/no/na) 

6. backup circuit active ?   ___yes_____     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___na________   (yes/no/na) 

9. equipment reset ?    _____na______    (yes/no/na) 

10. verified site working on backup circuit ?  ____yes___     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",Database,Performance,Medium,Cancelled,Stephen Carpenter,2024-12-03,When production above ready sign although fine during.,Messaging Queue,Mobile App,High latency observed
INC1000047,"nibaotpy vmxathog  


","nibaotpy vmxathog  


",Hardware,Printer,Low,Resolved,Andrew Henry,2024-12-21,Issue resolved following standard procedures.,Messaging Queue,Frontend Portal,Packet loss detected
INC1000048,Phishing email received,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Security,Unauthorized Access,High,Resolved,John Jones,2024-03-23,Of couple hope yeah.,Messaging Queue,Data Warehouse,VPN connectivity unstable
INC1000049,Firewall policy misconfiguration,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Network,VPN,Low,Closed,Mary Lamb,2024-12-10,Call feeling standard matter trouble.,Database Cluster A,Reporting Engine,Firewall blocking traffic
INC1000050,Laptop not powering on,Security logs indicate an unauthorized login attempt from an unknown IP address.,Software,Email,High,Closed,Jon Dudley,2024-08-18,General training catch their.,Messaging Queue,Reporting Engine,Firewall blocking traffic
INC1000051,hcuixqgj.mavxgqbs@gmail.com password reset,hcuixqgj.mavxgqbs@gmail.com password reset,Database,Performance,Medium,In Progress,<function <lambda> at 0x7eb3c62986d0>,2024-05-13,Everyone song career such century respond.,Messaging Queue,Data Warehouse,VPN connectivity unstable
INC1000052,Phishing email received,Application response time has significantly degraded. Users facing performance issues.,Software,Database,Low,Resolved,Kelly Davies,2024-04-10,Painting evidence learn her course.,Authentication Server,Reporting Engine,VPN connectivity unstable
INC1000053,Database connection timeout,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Hardware,Desktop,Critical,On Hold,Joshua Oneal,2024-05-02,Issue resolved following standard procedures.,Messaging Queue,Mobile App,Complete network outage
INC1000054,Phishing email received,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Network,Switch,Low,On Hold,Luis Simon,2024-04-04,Issue resolved following standard procedures.,API Gateway,Data Warehouse,No connectivity issues detected.
INC1000055,Printer not responding,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Policy Violation,High,On Hold,Stephen Carpenter,2024-09-22,Issue resolved following standard procedures.,Authentication Server,Access Control System,No connectivity issues detected.
INC1000056,Unauthorized access attempt detected,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Software,Operating System,Low,Resolved,Kelly Davies,2025-02-09,Truth personal respond operation.,API Gateway,Data Warehouse,Complete network outage
INC1000057,Email delivery issue reported,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Security,Policy Violation,Critical,On Hold,Ms. Cheryl Adams PhD,2024-08-30,Cut PM between likely environment easy.,API Gateway,Reporting Engine,No connectivity issues detected.
INC1000058,Database connection timeout,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Hardware,Printer,Medium,Closed,Elizabeth Ramos,2024-03-24,Prove face tonight have card such.,Authentication Server,Reporting Engine,No connectivity issues detected
INC1000059,Firewall policy misconfiguration,System crashed after applying latest OS update. Issue needs rollback or fix.,Network,Firewall,High,In Progress,Susan Torres,2024-04-20,Section get couple sing hard.,Authentication Server,Mobile App,Packet loss detected
INC1000060,"ms crm login issue.
-connected to the user system using teamviewer.
-user is on the company network.
-when user tries to login to the ms crm its gives him a error.
","ms crm login issue.
-connected to the user system using teamviewer.
-user is on the company network.
-when user tries to login to the ms crm its gives him a error.
",Security,Policy Violation,High,On Hold,<function <lambda> at 0x7eb3c62986d0>,2025-01-15,Avoid example indeed phone quite major.,Messaging Queue,Access Control System,Complete network outage
INC1000061,Firewall policy misconfiguration,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Security,Malware,High,On Hold,Jon Dudley,2024-04-02,Computer debate person he center.,Authentication Server,Frontend Portal,No connectivity issues detected.
INC1000062,"received from: monitoring_tool@company.com

job Job_2549 failed in job_scheduler at: 10/02/2016 20:00:00","received from: monitoring_tool@company.com

job Job_2549 failed in job_scheduler at: 10/02/2016 20:00:00",Database,Timeout,Low,In Progress,Gregory Fletcher,2025-02-02,Issue resolved following standard procedures.,Messaging Queue,Reporting Engine,No connectivity issues detected.
INC1000063,Laptop not powering on,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Malware,High,Resolved,Cindy King,2024-04-19,Issue resolved following standard procedures.,API Gateway,Mobile App,High latency observed
INC1000064,Unauthorized access attempt detected,Database connections are timing out frequently. Impacting multiple users.,Hardware,Printer,Medium,New,April Robertson,2024-12-02,Hope evidence factor contain somebody financial road.,Messaging Queue,Frontend Portal,Intermittent network drops
INC1000065,"when i click on the download to pdf i don't get the pop-up which allows me to download to pdf (see attachment)
hi this is bthrob ducyua,
i had don put *.crm.dynamics.com in his popup blocker and it worked, i don't know if that's the only thing he needs in the pop-up blocker i also had him put company.collaboration_platform.com in his pop-up blocker because that's what i had in mine.  please close this ticket if this is all that needs to be done.","when i click on the download to pdf i don't get the pop-up which allows me to download to pdf (see attachment)
hi this is bthrob ducyua,
i had don put *.crm.dynamics.com in his popup blocker and it worked, i don't know if that's the only thing he needs in the pop-up blocker i also had him put company.collaboration_platform.com in his pop-up blocker because that's what i had in mine.  please close this ticket if this is all that needs to be done.",Software,Application Access,Critical,On Hold,Susan Mitchell,2025-01-18,Issue resolved following standard procedures.,Authentication Server,General User Interface,Firewall blocking traffic
INC1000066,setup new ws \wphqnxly htvrbxmd,setup new ws \wphqnxly htvrbxmd,Network,Firewall,High,In Progress,Andrew Davis,2025-01-12,Life discuss choice think among.,API Gateway,Reporting Engine,No connectivity issues detected.
INC1000067,Firewall policy misconfiguration,Database connections are timing out frequently. Impacting multiple users.,Security,Malware,Medium,On Hold,Melinda Harris,2024-05-31,Charge parent as design investment one.,API Gateway,Mobile App,Packet loss detected
INC1000068,System crash after update,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Hardware,Laptop,Critical,Resolved,Luis Simon,2024-08-20,Including human difference number.,API Gateway,Frontend Portal,Intermittent network drops
INC1000069,Firewall policy misconfiguration,Application response time has significantly degraded. Users facing performance issues.,Security,Phishing,Medium,New,William Rodgers,2024-12-18,Issue resolved following standard procedures.,Database Cluster A,Data Warehouse,No connectivity issues detected.
INC1000070,Slow application performance,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Hardware,Printer,Medium,Resolved,Taylor Garner,2024-06-17,Mouth early figure.,API Gateway,General User Interface,Packet loss detected
INC1000071,System crash after update,Database connections are timing out frequently. Impacting multiple users.,Security,Policy Violation,Low,Resolved,Scott Williams,2024-11-23,Structure bank health exist finally effect knowledge.,Authentication Server,Reporting Engine,No connectivity issues detected.
INC1000072,Firewall policy misconfiguration,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Security,Policy Violation,High,Resolved,Charles Stevens,2024-11-15,Later movie network site.,API Gateway,Access Control System,High latency observed
INC1000073,"from: dartnl porwrloisky [mailto:mreocsnk.swoyxzma@gmail.com] 
sent: monday, october 03, 2016 11:35 pm
to: nwfodmhc exurcwkm
subject: rakthyesh login problems with vpn

hi.

i can't log into the vpn or ticketing_tool. i changed my password this morning and now it is not working
can you please reset my login?
my username is poloidgthyl

i keep getting this error:
 

danl poloisky
territory manager
 
m (330) 260-5038
f  (330) 343-4705
mreocsnk.swoyxzma@gmail.com
| 2605 federal signal dr | usa, il 60484 |      

","from: dartnl porwrloisky [mailto:mreocsnk.swoyxzma@gmail.com] 
sent: monday, october 03, 2016 11:35 pm
to: nwfodmhc exurcwkm
subject: rakthyesh login problems with vpn

hi.

i can't log into the vpn or ticketing_tool. i changed my password this morning and now it is not working
can you please reset my login?
my username is poloidgthyl

i keep getting this error:
 

danl poloisky
territory manager
 
m (330) 260-5038
f  (330) 343-4705
mreocsnk.swoyxzma@gmail.com
| 2605 federal signal dr | usa, il 60484 |      

",Security,Malware,Critical,On Hold,Jamie Ford,2024-09-02,Issue resolved following standard procedures.,Firewall System,Frontend Portal,High latency observed
INC1000074,System crash after update,"User reported being unable to connect to the VPN from remote location. Verified credentials, but issue persists.",Hardware,Monitor,Low,New,Dr. Melissa Mccoy,2025-01-07,Simply hit response.,API Gateway,Reporting Engine,High latency observed
INC1000075,Email delivery issue reported,Application response time has significantly degraded. Users facing performance issues.,Network,Firewall,Critical,New,Monica Miller,2025-02-05,Region point believe population might work.,Database Cluster A,Data Warehouse,No connectivity issues detected.
INC1000076,"

received from: zuxcfonv.nyhpkrbe@gmail.com

gso

user qzkyugce etsmnuba ( dondwdgj76) can't log on the ticketing_tool , the system display the user and password invalid , could you work on this ,","

received from: zuxcfonv.nyhpkrbe@gmail.com

gso

user qzkyugce etsmnuba ( dondwdgj76) can't log on the ticketing_tool , the system display the user and password invalid , could you work on this ,",Hardware,Laptop,Critical,New,Charles Stevens,2024-09-13,Expert only senior life only organization rest.,Messaging Queue,Reporting Engine,High latency observed
INC1000077,"name:qjeymnzs wgpelvyn
language:
browser:microsoft internet explorer
email:qjeymnzs.wgpelvyn@gmail.com
customer number:
telephone:
summary:i cannot log into skype or vpn. this happens every time i change my password.  i will need someone to log into my computer and fix some certificates or whatever to make it work again.","name:qjeymnzs wgpelvyn
language:
browser:microsoft internet explorer
email:qjeymnzs.wgpelvyn@gmail.com
customer number:
telephone:
summary:i cannot log into skype or vpn. this happens every time i change my password.  i will need someone to log into my computer and fix some certificates or whatever to make it work again.",Database,Backup Failure,Low,Resolved,Andrew Henry,2024-11-27,However land organization cover member suffer often.,Database Cluster A,Mobile App,Packet loss detected
INC1000078,benoittry is unable to login to distributor_tool. waiting to see if one of the previous passwords (passwords used in erp)  was used while resetting in password_management_tool.,benoittry is unable to login to distributor_tool. waiting to see if one of the previous passwords (passwords used in erp)  was used while resetting in password_management_tool.,Network,Internet,Low,Closed,Steven Roberts,2024-05-15,Alone room expect feel.,API Gateway,Frontend Portal,No connectivity issues detected.
INC1000079,"

received from: sdbcpvtx.hzpctsla@gmail.com

mithyke tayjuoylor and arithel shfsako get this error when they try to open the 'add a lean event' button on their pcs.


[cid:image001.png@01d2255d.a4b446f0]


","

received from: sdbcpvtx.hzpctsla@gmail.com

mithyke tayjuoylor and arithel shfsako get this error when they try to open the 'add a lean event' button on their pcs.


[cid:image001.png@01d2255d.a4b446f0]


",Database,Performance,Low,On Hold,Dr. Melissa Mccoy,2024-04-29,Issue resolved following standard procedures.,Authentication Server,Data Warehouse,No connectivity issues detected.
INC1000080,Database connection timeout,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Network,Firewall,Critical,Cancelled,Jamie Ford,2024-10-09,Might voice class least turn necessary.,Database Cluster A,Reporting Engine,VPN connectivity unstable
INC1000081,System crash after update,Misconfigured firewall rules are blocking internal traffic. Needs urgent review.,Hardware,Desktop,Low,New,Mary Mills,2024-09-17,Issue resolved following standard procedures.,Authentication Server,General User Interface,Intermittent network drops
INC1000082,User unable to access VPN,Printer is not responding to print commands. Restarting the printer did not resolve the issue.,Security,Phishing,Critical,On Hold,Douglas Tyler,2025-03-13,Morning range season officer girl.,Authentication Server,Mobile App,No connectivity issues detected.
INC1000083,Unauthorized access attempt detected,Laptop does not boot up. Power button unresponsive even after multiple attempts.,Software,Email,High,Cancelled,Elizabeth Ramos,2024-09-22,Issue resolved following standard procedures.,API Gateway,General User Interface,VPN connectivity unstable
INC1000084,"received from: monitoring_tool@company.com

job Job_1374 failed in job_scheduler at: 08/22/2016 13:06:00","received from: monitoring_tool@company.com

job Job_1374 failed in job_scheduler at: 08/22/2016 13:06:00",Database,Backup Failure,High,New,Joseph Chandler,2024-05-24,Which during vote continue step those hand.,API Gateway,Frontend Portal,No connectivity issues detected.
INC1000085,User unable to access VPN,Suspicious phishing email received with a link to an unknown site. Needs investigation.,Database,Backup Failure,Critical,In Progress,Gregory Fletcher,2024-11-04,Minute once discuss bill find result man.,Database Cluster A,Mobile App,No connectivity issues detected
INC1000086,Phishing email received,Application response time has significantly degraded. Users facing performance issues.,Security,Policy Violation,Medium,Closed,Anna Smith,2024-12-14,Center political specific marriage performance.,API Gateway,Reporting Engine,Firewall blocking traffic
INC1000087,"received from: monitoring_tool@company.com

job Job_2883 failed in job_scheduler at: 09/18/2016 00:02:00","received from: monitoring_tool@company.com

job Job_2883 failed in job_scheduler at: 09/18/2016 00:02:00",Database,Performance,Medium,In Progress,John Jones,2024-03-30,Game dark school try occur.,API Gateway,Frontend Portal,High latency observed
INC1000088,Phishing email received,Security logs indicate an unauthorized login attempt from an unknown IP address.,Hardware,Monitor,Critical,In Progress,Charles Stevens,2024-12-11,Issue resolved following standard procedures.,API Gateway,General User Interface,Firewall blocking traffic
INC1000089,Laptop not powering on,Emails are being delayed or not delivered. Users experiencing intermittent issues.,Security,Phishing,Medium,On Hold,James White,2024-10-19,Product life outside go our nearly.,Authentication Server,Data Warehouse,Packet loss detected
INC1000090,User unable to access VPN,System crashed after applying latest OS update. Issue needs rollback or fix.,Database,Connection Issue,High,On Hold,Joseph Chandler,2025-01-04,Billion left cell east history claim hit.,Database Cluster A,Reporting Engine,Intermittent network drops
INC1000091,Database connection timeout,Security logs indicate an unauthorized login attempt from an unknown IP address.,Security,Policy Violation,Critical,Cancelled,Taylor Garner,2024-12-13,Design after red wind.,Messaging Queue,Access Control System,Packet loss detected
INC1000092,setup new ws \gonzales,setup new ws \gonzales,Security,Policy Violation,Low,Resolved,William Rodgers,2024-09-13,Oil east left white rule individual various section.,Database Cluster A,Mobile App,No connectivity issues detected.
